complaint_id,complaint_url,capture_method,location,city,resolution_status,complaint_type,received_date,business_area,organization,unit_name,region,regulated_entity,p5_no,jurisdictional,regulated,complaint_description_type,complaint_description,resolution_description,complaint_comments,update_notes,close_date,explanation_type,explanation,referral_type,referred_to,inspection_packages_link,inspection_documents_link
0000001772,https://rrctx.force.com/s/ietrs-complaint/a0ct0000000mPF9AAM/complaint0000001772,Email,4905 Valley Oak Dr.,Austin,Closed,PL,2016-10-11,Pipeline Safety,TEXAS GAS SERVICE COMPANY,,04-Austin,,,True,Yes,Other,Disconnected gas line,,,,2016-10-13,Other,Disconnected gas line,Field,RRC Field Inspector Kyle Knapp,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mPF9AAM/Inspection_Packages__r,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mPF9AAM/Inspection_Documents__r
0000001112,https://rrctx.force.com/s/ietrs-complaint/a0ct0000000mP4VAAU/complaint0000001112,Telephonic,GOM,,Closed,PL,2015-10-11,Pipeline Safety,,,07-Corpus Christi,,,True,Yes,Leaking Material,,,,,2017-06-20,Other,Complainant called the USCG to notify them of a platform that is leaking. The USCG call the answering service and reported it to RRC. The sign on the platform is Atinum Operating which is an inactive operator according to the RRC P-5 query. The complainan,Field,,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mP4VAAU/Inspection_Packages__r,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mP4VAAU/Inspection_Documents__r
0000001755,https://rrctx.force.com/s/ietrs-complaint/a0ct0000000mPEsAAM/complaint0000001755,Telephonic,11902 I-20 West,Eastland,Closed,PL,2016-08-02,Pipeline Safety,COMPANY FOR NJ GAS,CO FOR NJ GAS UNT,06-Fort Worth,SYSTEM FOR NJ GAS INVESTIGATIONS,,True,Yes,Other,"Unknown operator for a 3-4"" pipeline on Mr. Eaton's property.",,,,2016-08-04,Other,Mr. Eaton is wanting to replace his fence and called in a dig ticket. Enbridge marked one line but there was no response to the other line. Prior maps (2009) provided by Enbridge showed that Plains PL owned the line in question but Plains stated that they,Field,,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mPEsAAM/Inspection_Packages__r,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mPEsAAM/Inspection_Documents__r
0000001834,https://rrctx.force.com/s/ietrs-complaint/a0ct0000000mPG9AAM/complaint0000001834,Telephonic,Off Hwy 73,Nederland,Closed,PL,2020-08-17,Pipeline Safety,,,05-Houston,,,True,Yes,Leaking Material,Jacob Broussard has reported that a pipeline has been leaking over the weekend in the ROW beside his property in Jefferson Co. Mr. Broussard is unsure of the material leaking from the pipeline.,,,,2020-08-24,Gas Leak,,Field,,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mPG9AAM/Inspection_Packages__r,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mPG9AAM/Inspection_Documents__r
0000000999,https://rrctx.force.com/s/ietrs-complaint/a0ct0000000mP2gAAE/complaint0000000999,Email,3316 West US 180 Brackenridge city,Brackeridge,Closed,PL,2015-05-20,Pipeline Safety,,,06-Fort Worth,,,True,Yes,Leaking Material,leaking material,,,,2015-05-21,Other,"Per Jim Osterhaus -This morning, May 20, 2015 at 8:50 am, Bill Lowry with PHMSA called to report a complaint he received regarding a leak on an intrastate pipeline. Mr. Charles Holson (325) 762-4628 reported a gas leak in Brackenridge, Texas, Stephens C",Field,,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mP2gAAE/Inspection_Packages__r,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mP2gAAE/Inspection_Documents__r
0000000061,https://rrctx.force.com/s/ietrs-complaint/a0ct0000000mOnYAAU/complaint0000000061,Telephonic,Corpus Christi Airport,Corpus Christi,Closed,PL,2005-08-24,Pipeline Safety,,,07-Corpus Christi,,,False,No,Safety Hazard,SAFETY HAZARD,,,,2005-08-24,Other,Unknow pipeline,Field,FIELD,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mOnYAAU/Inspection_Packages__r,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mOnYAAU/Inspection_Documents__r
0000001958,https://rrctx.force.com/s/ietrs-complaint/a0ct0000000mPIJAA2/complaint0000001958,Telephonic,252 Hwy 163 S,Ozona,Closed,PL,2007-10-22,Pipeline Safety,,,02-Midland,,,True,Yes,Safety Hazard,SAFETY HAZARD,,,,2017-06-15,Other,SAFETY HAZARD,Field,FIELD,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mPIJAA2/Inspection_Packages__r,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mPIJAA2/Inspection_Documents__r
0000001906,https://rrctx.force.com/s/ietrs-complaint/a0ct0000000mPHJAA2/complaint0000001906,Email,8310 Thora Ln,Spring,Closed,PL,2020-09-16,Pipeline Safety,,,05-Houston,,,True,Yes,Safety Hazard,"Mr. Hal Hope has reported that a pipeline on the south side of David Wayne Hooks Airport has tree roots grown around it. Mr. Hope is concerned that in high wind the tree could shift and damage the pipeline. There are three pipelines in the ROW operated by Magellan, BP, and Enterprise.",,,,2020-10-28,Other,Possible unsafe conditions,Field,,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mPHJAA2/Inspection_Packages__r,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mPHJAA2/Inspection_Documents__r
0000000123,https://rrctx.force.com/s/ietrs-complaint/a0ct0000000mOoYAAU/complaint0000000123,Telephonic,BUCKNER BLVD SERVICE RDS,DALLAS,Closed,RR,2004-12-29,Pipeline Safety,,,,,,False,No,Noise,NOISE,,,,2004-12-29,Other,EXCESSIVE HORN BLOWING,NA,NA,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mOoYAAU/Inspection_Packages__r,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mOoYAAU/Inspection_Documents__r
0000000307,https://rrctx.force.com/s/ietrs-complaint/a0ct0000000mOrWAAU/complaint0000000307,Email,1600 West Ulex,McAllen,Closed,PL,2007-08-10,Pipeline Safety,,,07-Corpus Christi,,,False,No,Fumes/Odor,FUMES/ODOR,,,,2007-08-10,Gas Leak,GAS LEAK,Field,FIELD,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mOrWAAU/Inspection_Packages__r,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mOrWAAU/Inspection_Documents__r
0000001378,https://rrctx.force.com/s/ietrs-complaint/a0ct0000000mP8nAAE/complaint0000001378,Telephonic,30.050975 -93.982418 closest address is 5320 Church house rd,Orange,Closed,PL,2016-06-21,Pipeline Safety,,,05-Houston,,,True,Yes,Exposed Pipeline,,,,,2016-06-24,Other,The complainant has marked where the line is exposed with an orange barrier. There is a gate with a phone that you can obtain a code to gain access.,Field,,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mP8nAAE/Inspection_Packages__r,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mP8nAAE/Inspection_Documents__r
0000000440,https://rrctx.force.com/s/ietrs-complaint/a0ct0000000mOtfAAE/complaint0000000440,Email,10761 CR 348,WILLS POINT,Closed,PL,2009-05-04,Pipeline Safety,,,03-Kilgore,,,False,No,Other,MINERAL LEASE AGREEMENT,,,,2009-05-04,Other,MS. SANDERS FAMILY HAVING INTERNAL DISPUTE W/REGARDS TO DEVON ENERGY LEASE,Field,FIELD,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mOtfAAE/Inspection_Packages__r,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mOtfAAE/Inspection_Documents__r
0000001971,https://rrctx.force.com/s/ietrs-complaint/a0ct0000000mRoIAAU/complaint0000001971,Telephonic,"803 Aloe Road, Victoria, TX 77905",Victoria,Closed,SAFETY-PL,2021-06-23,Pipeline Safety,PETRA OLEUM CORP.,,07-Corpus Christi,,659826,True,Yes,Safety Hazard,"Complainant Ernie Helweg's neighbor has been mining soil for about 3 years and there is quite a bit of ""wash-out"" from the recent rains that exposed a large hole in the ground where they have been mining. The concern is that the edge of the hole is very near a high pressure gas line. According to the Public GIS Viewer, this line appears to belong to Petra Oleum Corp., T-4 permit 08383. Mr. Helweg is concerned that if the wash-out spreads, the edge of the sinkhole will expose the pipeline and become a safety hazard. TCEQ has been involved before and required a permit from the neighbor to operate and they are returning to reassess the situation.","Closing remarks from Inspector Michael Nuernberg (6/24/2021): ""I have spoken with the land owner and the operator. The operator is now aware and will be contacting the individual conducting the surface mining and verifying the possibility of encroachment.""","Closing remarks from Inspector Michael Nuernberg (6/24/2021): ""I have spoken with the land owner and the operator. The operator is now aware and will be contacting the individual conducting the surface mining and verifying the possibility of encroachment.""",,2021-06-25,Other,Potential safety hazard.,Field,,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mRoIAAU/Inspection_Packages__r,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mRoIAAU/Inspection_Documents__r
0000000369,https://rrctx.force.com/s/ietrs-complaint/a0ct0000000mOsWAAU/complaint0000000369,Letter,080143991,,Closed,TDP,2008-01-17,Pipeline Safety,,,04-Austin,,,False,No,Other,SECOND NOTICE REQUEST,,,,2017-06-15,Other,SECOND NOTICE REQUEST,Headquarters,HEADQUARTERS,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mOsWAAU/Inspection_Packages__r,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mOsWAAU/Inspection_Documents__r
0000000502,https://rrctx.force.com/s/ietrs-complaint/a0ct0000000mOufAAE/complaint0000000502,Telephonic,"Boysen Ranch, CR 196",Bangs,Closed,PL,2010-08-19,Pipeline Safety,,,06-Fort Worth,,,True,Yes,Exposed Pipeline,EXPOSED PIPELINE,,,,2010-08-30,Other,Want a gas pipeline that runs across his ranch buried.,Other,Joe Cordoza,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mOufAAE/Inspection_Packages__r,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mOufAAE/Inspection_Documents__r
0000001440,https://rrctx.force.com/s/ietrs-complaint/a0ct0000000mP9nAAE/complaint0000001440,Email,313 Greenwood Dr.,Hitchcock,Closed,PL,2016-11-04,Pipeline Safety,CENTERPOINT ENERGY ENTEX,,05-Houston,,,True,Yes,Fumes/Odor,Strong smell in backyard,,,,2016-11-09,Gas Leak,Centerpoint knows of leak,Field,RRC Houston Field Inspector James Minter,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mP9nAAE/Inspection_Packages__r,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mP9nAAE/Inspection_Documents__r
0000002055,https://rrctx.force.com/s/ietrs-complaint/a0ct0000000mmJ0AAI/complaint0000002055,Telephonic,"805 CR 450, Dayton, TX 77535",Dayton,Closed,SAFETY-PL,2021-11-10,Pipeline Safety,COMPANY FOR NJ GAS,,05-Houston,,,True,Yes,Safety Hazard,"Complainant Ms. Kendra Roe is calling to report a safety concern with a few pipelines that run across her property underneath her driveway. She stated that the land above the pipelines has been sinking substantially and has formed a ravine that has ruined the ground and the complainant's driveway, as well as her neighbor's. She also stated that water collects in the area and can be as much as several feet deep. The complainant has spoken with two of the three operators and she said that they agreed that this is a safety concern but have continued to dispute who is responsible for maintenance. After reviewing the Public GIS Viewer, all 3 pipelines appear to be Interstate pipelines, one belonging to Targa NGL Pipeline Company LLC (P-5 836034), one belonging to Citgo Products Pipeline Company (P-5 154251), and one belonging to Oneok NGL Pipeline L.L.C. (P-5 623798).",See Update Notes.,See Update Notes.,"On 11/10/2021 RRC Inspector K. Metcalf was assigned Complaint #2055 Complainant Ms. Kendra Roe is calling to report a safety concern with a few pipelines that run across her property underneath her driveway. She stated that the land above the pipelines has been sinking substantially and has formed a ravine that has ruined the ground and the complainant's driveway, as well as her neighbor's. She also stated that water collects in the area and can be as much as several feet deep. The complainant has spoken with two of the three operators, and she said that they agreed that this is a safety concern but have continued to dispute who is responsible for maintenance. After reviewing the Public GIS Viewer, all 3 pipelines appear to be Interstate pipelines, one belonging to Targa NGL Pipeline Company LLC (P-5 836034), one belonging to Citgo Products Pipeline Company (P-5 154251), and one belonging to Oneok NGL Pipeline L.L.C. (P-5 623798). On 11/22/2021 RRC Inspector Kyle Metcalf conducted a field verification inspection during the inspection. Inspector Kyle Metcalf a pit that has formed across the driveway and yard in the vicinity of where the pipelines cross the property. The pit is approximately 40’Wide and 50’ Long it appears to be several feet deep in areas. After verifying that the pipelines are potentially being affected by the erosion. Inspector Metcalf had determined this complaint need to be referred to PHMSA. On 1/3/2022 RRC Inspector Metcalf informed Ms. Roe that the complaint is being forwarded to PHMSA.",2022-01-04,Other,Potential safety hazard,Field,,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mmJ0AAI/Inspection_Packages__r,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mmJ0AAI/Inspection_Documents__r
0000001730,https://rrctx.force.com/s/ietrs-complaint/a0ct0000000mPETAA2/complaint0000001730,Telephonic,300 Tecolote Rd,Hebbronville,Closed,PL,2019-10-30,Pipeline Safety,,,07-Corpus Christi,,,True,Yes,Leaking Material,"Mr. Brown has reported a gas leak at their deer hunting lease located at 300 Tecolote Rd near Hebbronville in Jim Hogg County. Mr. Brown has located and contacted pipeline marker with Thorp Petroleum Corporation contact number 713-759-0556. Mr. Brown was confirmed by Thorp Petroleum that they are no longer own/operate the pipeline in question. The leak was found by Mr. Brown on October 26, 2019. There are no injuries or fire associated with this pipeline leakage.",,,,,Gas Leak,,Field,,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mPETAA2/Inspection_Packages__r,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mPETAA2/Inspection_Documents__r
0000001668,https://rrctx.force.com/s/ietrs-complaint/a0ct0000000mPDTAA2/complaint0000001668,,Unknown,,Closed,,2017-10-17,Pipeline Safety,,,,,,False,No,,,,,,,,,,,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mPDTAA2/Inspection_Packages__r,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mPDTAA2/Inspection_Documents__r
0000000967,https://rrctx.force.com/s/ietrs-complaint/a0ct0000000mP2AAAU/complaint0000000967,Telephonic,N/A,Gonzales,Closed,PL,2015-03-06,Pipeline Safety,,,04-Austin,,,True,Yes,Other,Mr. Turk is concerned about an exposed pipeline on his property.,,,,2015-03-16,Other,Exposed pipeline,Field,,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mP2AAAU/Inspection_Packages__r,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mP2AAAU/Inspection_Documents__r
0000001616,https://rrctx.force.com/s/ietrs-complaint/a0ct0000000mPCdAAM/complaint0000001616,Email,4390 Thomas Ct,Beaumont,Closed,PL,2016-11-16,Pipeline Safety,CENTERPOINT ENERGY ENTEX,,05-Houston,,,False,Yes,Safety Hazard,Gas line to close to water line,,,,2016-12-08,Other,Gas line run to close to the water line,Field,RRC Inspector,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mPCdAAM/Inspection_Packages__r,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mPCdAAM/Inspection_Documents__r
0000001132,https://rrctx.force.com/s/ietrs-complaint/a0ct0000000mP4pAAE/complaint0000001132,Email,Location was not provided in the complaint email,,Closed,PL,2015-10-28,Pipeline Safety,,,03-Kilgore,,,True,Yes,Other,WHY DOES TRC OVERLOOK WHATS GOING ON AT KOCH PIPELINE IN MIDWAY TEXAS,,,,2015-11-18,Other,WHY DOES TRC OVERLOOK WHATS GOING ON AT KOCH PIPELINE IN MIDWAY TEXAS,Field,,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mP4pAAE/Inspection_Packages__r,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mP4pAAE/Inspection_Documents__r
0000000773,https://rrctx.force.com/s/ietrs-complaint/a0ct0000000mOz2AAE/complaint0000000773,Email,Buffalo Bayou/w of Wilcrest Rd,Houston,Closed,PL,2012-01-11,Pipeline Safety,,,05-Houston,,,True,Yes,Exposed Pipeline,":Railroad Commission of Texas in Austin received email from Bill in Houston on 01-11-12 @ 2:39 p.m... Email reads: Here in Houston there is a pipeline that crosses Buffalo Bayou just to the west of Wilcrest Road. It is not buried beneath the bed of the bayou, and it is not high enough above the bayou to be out of the water, so every time there is a storm, big trees and stuff hit the pipeline as they get washed downstream. It has a huge bend in it, so it looks like a 40 foot long banana between the two banks of the bayou, and it looks pretty scary. It is about 16 to 20 inches in diameter There is a pipeline lollipop nearby, and it says Netco Pipeline, and there is an old flyover marker that has a 95 on it. The phone number on the lollipop is just the One Call number. Is this pipeline active? What is in it? Thank you.",,,,2012-01-17,Other,EXPOSED PIPELINE,Field,David Flores. (Stephanie was not the inspector but I had to add an inspector to save it.) David Flores was not in the drop down box.,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mOz2AAE/Inspection_Packages__r,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mOz2AAE/Inspection_Documents__r
0000000706,https://rrctx.force.com/s/ietrs-complaint/a0ct0000000mOxxAAE/complaint0000000706,Telephonic,410 E 9th NE corner of property.,Forsan,Closed,PL,2011-07-13,Pipeline Safety,,,02-Midland,,,True,Yes,Leaking Material,Natural Gas Pipe leaking. Called Oneok the owner and they have not returned their call.,,,,2011-07-13,Gas Leak,GAS LEAK,Field,,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mOxxAAE/Inspection_Packages__r,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mOxxAAE/Inspection_Documents__r
0000001029,https://rrctx.force.com/s/ietrs-complaint/a0ct0000000mP3AAAU/complaint0000001029,Telephonic,Near 126 C.R. 1416,Qutmann,Closed,PL,2015-05-19,Pipeline Safety,,,03-Kilgore,,,True,Yes,Leaking Material,Substance is in the bar ditch heading toward Lake Quitman,,,,2015-05-19,Other,Substance in the bar ditch,Field,P.L.I. Daniel Francis,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mP3AAAU/Inspection_Packages__r,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mP3AAAU/Inspection_Documents__r
0000000768,https://rrctx.force.com/s/ietrs-complaint/a0ct0000000mOyxAAE/complaint0000000768,Telephonic,3000 FM 571,Ranger,Closed,PL,2012-01-10,Pipeline Safety,,,06-Fort Worth,,,False,Yes,Leaking Material,LEAKING MATERIAL,,,,2012-01-11,Other,Gas Gathering Line Leaking,Field,FIELD,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mOyxAAE/Inspection_Packages__r,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mOyxAAE/Inspection_Documents__r
0000001554,https://rrctx.force.com/s/ietrs-complaint/a0ct0000000mPBdAAM/complaint0000001554,Telephonic,621 Grimes Rd,Mineral Wells,Closed,PL,2018-11-29,Pipeline Safety,,,06-Fort Worth,,,False,Yes,Safety Hazard,Mr. Craig Clarke has reported that a pipeline is exposed and elevated over a wash area. Mr. Clarke has also reported that a line is above ground on his property obstructing his ability to bring vehicles to the backside of his land. Mr. Clarke is concerned about the safety of these lines and would like the RRC's assistance.,,,,2019-01-28,Blocked Crossing,,Field,,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mPBdAAM/Inspection_Packages__r,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mPBdAAM/Inspection_Documents__r
0000001194,https://rrctx.force.com/s/ietrs-complaint/a0ct0000000mP5pAAE/complaint0000001194,Email,Lease,Longview,Closed,PL,2016-07-13,Pipeline Safety,,,03-Kilgore,,,True,Yes,Other,Needs information regarding a flow line and T-4 permit 05726,,,,2016-09-01,Other,City of Longview is needing to do some work and can not find any documentation regarding this line.,Field,,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mP5pAAE/Inspection_Packages__r,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mP5pAAE/Inspection_Documents__r
0000001093,https://rrctx.force.com/s/ietrs-complaint/a0ct0000000mP4CAAU/complaint0000001093,Telephonic,Hastings Rd/CR 285,Alvin,Closed,PL,2015-11-09,Pipeline Safety,"DENBURY ONSHORE, LLC",,05-Houston,,,True,Yes,Leaking Material,,,,,2015-11-09,Gas Leak,Gas and salt water are leaking from the unit. This has been going on since 11/5/15. The lease number is 133250,Other,Houston O&G,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mP4CAAU/Inspection_Packages__r,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mP4CAAU/Inspection_Documents__r
